1,u,"[1, -1, -1]",media/dnnb.png,media/dnnb_r.png,media/dnnb_g.png,0.014,0.1,media/hand.png,media/cross.png,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
2,i,"[1, -1, -1]",media/dinb.png,media/dinb_r.png,media/dinb_g.png,0.057,0.08,media/hand.png,None,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
3,l,"[1, -1, -1]",media/ddnb.png,media/ddnb_r.png,media/ddnb_g.png,0.1,0.04,media/hand.png,None,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
0,h,"[-1, 1, -1]",media/djnb.png,media/djnb_r.png,media/djnb_g.png,None,None,None,None,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
1,u,"[-1, 1, -1]",media/dnnb.png,media/dnnb_r.png,media/dnnb_g.png,None,None,None,None,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
2,i,"[-1, 1, -1]",media/dinb.png,media/dinb_r.png,media/dinb_g.png,None,None,None,None,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
3,l,"[-1, 1, -1]",media/ddnb.png,media/ddnb_r.png,media/ddnb_g.png,None,None,None,None,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,1,l,media/dnnb.png,1,TR,0,0,1,1,0,2,0.17788595732447354,1,0,0,41.95426609995775,41.95426609995775,41.95426609995775,None,41.95426609995775,None,43.37059840001166,None,u,0,1.6202849999535829,41.95426609995775,None,43.61446479987353,None,43.61446479987353,None,43.61446479987353,None,43.92061510006897,None,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,3,i,media/ddnb.png,1,TR,0,0,2,1,0,2,0.9637389893044759,1,0,0,44.123851999873295,44.123851999873295,44.123851999873295,None,44.123851999873295,None,44.755492999916896,None,i,1,1.5149811999872327,44.123851999873295,None,45.66402669996023,None,45.66402669996023,None,45.66402669996023,None,45.97218669997528,None,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,2,u,media/dinb.png,1,TR,0,0,3,1,0,2,0.02177771899763581,1,0,0,46.17713769990951,46.17713769990951,46.17713769990951,None,46.17713769990951,None,47.75389440008439,None,l,0,1.573223700048402,46.17713769990951,None,47.77435939991847,None,47.77435939991847,None,47.77435939991847,None,48.08715799986385,None,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,1,l,media/dnnb.png,1,TR,0,0,4,1,0,2,0.3716542345782565,1,0,0,48.294497600058094,48.294497600058094,48.294497600058094,None,48.294497600058094,None,49.50719180004671,None,h,0,1.552235099952668,48.294497600058094,None,49.88040539994836,None,49.88040539994836,None,49.88040539994836,None,50.18734459998086,None,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,0,h,media/djnb.png,1,TR,0,0,5,1,0,2,0.8897204516209503,1,0,0,50.38739679986611,50.38739679986611,50.38739679986611,None,50.38739679986611,None,51.08742569992319,None,h,1,1.5162603999488056,50.38739679986611,None,51.933851399924606,None,51.933851399924606,None,51.933851399924606,None,52.23716069990769,None,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,3,i,media/ddnb.png,1,TR,0,0,6,1,0,2,0.6422347949273153,1,0,0,52.43753160000779,52.43753160000779,52.43753160000779,None,52.43753160000779,None,53.37156519992277,None,l,0,1.537529000081122,52.43753160000779,None,54.02636960009113,None,54.02636960009113,None,54.02636960009113,None,54.339278999948874,None,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,2,u,media/dinb.png,1,TR,0,0,7,1,0,2,0.02749531354105761,1,0,0,54.55404570000246,54.55404570000246,54.55404570000246,None,54.55404570000246,None,None,None,h,0,1.4607295000459999,54.55404570000246,None,56.06305329990573,None,56.06305329990573,None,56.06305329990573,None,56.370844200020656,None,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,1,l,media/dnnb.png,1,TR,0,0,8,1,0,2,0.9688520764261497,1,0,0,56.57146289991215,56.57146289991215,56.57146289991215,None,56.57146289991215,None,57.18771529989317,None,i,0,1.5720916998106986,56.57146289991215,None,58.18199469987303,None,58.18199469987303,None,58.18199469987303,None,58.48786349990405,None,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,0,h,media/djnb.png,1,TR,0,0,9,1,0,2,0.010521264359053095,1,0,0,58.689243000000715,58.689243000000715,58.689243000000715,None,58.689243000000715,None,None,None,i,0,1.4862273000180721,58.689243000000715,None,60.21344379987568,None,60.21344379987568,None,60.21344379987568,None,60.52059439988807,None,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,60.72322959988378,None,h,0.803255699807778,60.72322959988378,None,2,i,media/dinb.png,2,TR,0,0,0,1,0,3,0.8889602452406256,1,0,0,61.55718660005368,61.55718660005368,61.55718660005368,None,61.55718660005368,None,62.254090500064194,None,h,0,1.5774234000127763,61.55718660005368,None,63.16245639999397,None,63.16245639999397,None,63.16245639999397,None,63.4732230999507,None,2,1,2020_Dec_04_1534,Context_Learning_new,2020.1.3,59.87418042897265,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,u,media/djnb.png,2,TR,0,0,1,1,0,3,0.19162838121276105,1,0,1,63.690893799997866,63.690893799997866,63.690893799997866,65.47152890008874,63.690893799997866,None,65.08745280001312,65.47152890008874,None,0,,63.690893799997866,None,,,,,,,,,,,,,,,
