1,u,"[1, -1, -1]",media/dnnb.png,media/dnnb_r.png,media/dnnb_g.png,0.014,0.1,media/hand.png,media/cross.png,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
2,i,"[1, -1, -1]",media/dinb.png,media/dinb_r.png,media/dinb_g.png,0.057,0.08,media/hand.png,None,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
3,l,"[1, -1, -1]",media/ddnb.png,media/ddnb_r.png,media/ddnb_g.png,0.1,0.04,media/hand.png,None,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
0,h,"[-1, 1, -1]",media/djnb.png,media/djnb_r.png,media/djnb_g.png,None,None,None,None,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
1,u,"[-1, 1, -1]",media/dnnb.png,media/dnnb_r.png,media/dnnb_g.png,None,None,None,None,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
2,i,"[-1, 1, -1]",media/dinb.png,media/dinb_r.png,media/dinb_g.png,None,None,None,None,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
3,l,"[-1, 1, -1]",media/ddnb.png,media/ddnb_r.png,media/ddnb_g.png,None,None,None,None,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,0,Symb,u,media/djnb.png,2,TR,0,0,9,1,0,2,0.4391268436433484,1,0,0,51.475419000023976,51.475419000023976,51.475419000023976,None,51.475419000023976,None,52.62552920007147,None,h,0,1.7284347999375314,51.475419000023976,None,53.25177350011654,None,53.25177350011654,None,53.25177350011654,None,53.5585996999871,None,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,53.76943979994394,None,h,2.5539734999183565,53.76943979994394,None,0,Symb,h,media/djnb.png,1,TR,0,0,0,1,0,3,0.31625298130830903,1,0,0,56.354794800048694,56.354794800048694,56.354794800048694,None,56.354794800048694,None,57.64237240003422,None,h,1,1.6079528001137078,56.354794800048694,None,58.0075878999196,None,58.0075878999196,None,58.0075878999196,None,58.30918599991128,None,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,0,Symb,h,media/djnb.png,1,TR,0,0,1,1,0,3,0.6052303231270917,1,0,0,58.51491710008122,58.51491710008122,58.51491710008122,None,58.51491710008122,None,59.508880499983206,None,i,0,1.5996600999496877,58.51491710008122,None,60.15857350011356,None,60.15857350011356,None,60.15857350011356,None,60.45951890014112,None,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,1,Symb,i,media/dnnb.png,1,TR,0,0,2,1,0,3,0.2560083026569533,1,0,0,60.658706800080836,60.658706800080836,60.658706800080836,None,60.658706800080836,None,61.99189840001054,None,h,0,1.6484429000411183,60.658706800080836,None,62.34095380012877,None,62.34095380012877,None,62.34095380012877,None,62.644465500023216,None,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,3,Symb,l,media/ddnb.png,1,TR,0,0,3,1,0,3,1.2855454474537464,1,0,0,62.86453330004588,62.86453330004588,62.86453330004588,None,62.86453330004588,None,63.1753756001126,None,l,1,1.666070400038734,62.86453330004588,None,64.58307759999298,None,64.58307759999298,None,64.58307759999298,None,64.89228740008548,None,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,2,Symb,u,media/dinb.png,1,TR,0,0,4,1,0,3,0.2939009504476784,1,0,0,65.09224259993061,65.09224259993061,65.09224259993061,None,65.09224259993061,None,66.37561470014043,None,h,0,1.5035931998863816,65.09224259993061,None,66.61889269994572,None,66.61889269994572,None,66.61889269994572,None,66.92555820010602,None,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,1,Symb,i,media/dnnb.png,1,TR,0,0,5,1,0,3,0.07683918777257692,1,0,0,67.1260643999558,67.1260643999558,67.1260643999558,None,67.1260643999558,None,68.64229699992575,None,l,0,1.605133900186047,67.1260643999558,None,68.76223460002802,None,68.76223460002802,None,68.76223460002802,None,69.07580880005844,None,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,3,Symb,l,media/ddnb.png,1,TR,0,0,6,1,0,3,0.7683224633836347,1,0,0,69.27582930005156,69.27582930005156,69.27582930005156,None,69.27582930005156,None,70.09260360011831,None,l,1,1.5669413998257369,69.27582930005156,None,70.8679188999813,None,70.8679188999813,None,70.8679188999813,None,71.17552910000086,None,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,2,Symb,u,media/dinb.png,1,TR,0,0,7,1,0,3,0.2580965047331736,1,0,0,71.37636009999551,71.37636009999551,71.37636009999551,None,71.37636009999551,None,72.70902650011703,None,h,0,1.5622566000092775,71.37636009999551,None,72.97400310006924,None,72.97400310006924,None,72.97400310006924,None,73.27703110012226,None,1,1,2020_Dec_04_1953,Context_Learning_new,2020.1.3,59.96231967062373,
